station,date,prcp,tobs
USC00519397,9/12/2015,0,74
USC00519397,10/12/2015,0.06,74
USC00519397,11/12/2015,0,75
USC00519397,12/12/2015,0.39,72
USC00519397,13/12/2015,0,70
USC00519397,14/12/2015,0,66
USC00519397,15/12/2015,0.08,74
USC00519397,16/12/2015,0,75
USC00519397,17/12/2015,0.02,74
USC00519397,18/12/2015,0.08,75
USC00519397,19/12/2015,0.13,76
USC00519397,20/12/2015,0.03,74
USC00519397,21/12/2015,0.01,75
USC00519397,22/12/2015,0,74
USC00519397,23/12/2015,0,73
USC00519397,24/12/2015,0,68
USC00519397,25/12/2015,0,73
USC00519397,26/12/2015,0.02,74
USC00519397,27/12/2015,0.43,74
USC00519397,28/12/2015,0.01,77
USC00519397,29/12/2015,0,70
USC00519397,30/12/2015,0,70
USC00519397,31/12/2015,0,69
USC00519397,1/12/2016,0.12,75
USC00519397,2/12/2016,0.03,72
USC00519397,3/12/2016,0,69
USC00519397,4/12/2016,0.03,71
USC00519397,5/12/2016,0.43,68
USC00519397,6/12/2016,0.02,67
USC00519397,7/12/2016,0,69
USC00519397,8/12/2016,0.03,73
USC00519397,9/12/2016,0.52,70
USC00519397,10/12/2016,0.05,70
USC00519397,11/12/2016,0.04,70
USC00519397,12/12/2016,0.01,66
USC00519397,13/12/2016,0.05,67
USC00519397,14/12/2016,0.03,70
USC00519397,15/12/2016,0,66
USC00519397,16/12/2016,0,62
USC00519397,17/12/2016,0.01,71
USC00519397,18/12/2016,0.13,73
USC00519397,19/12/2016,0.01,69
USC00519397,20/12/2016,0,77
USC00519397,21/12/2016,0,74
USC00519397,22/12/2016,0.01,71
USC00519397,23/12/2016,0.01,72
USC00519397,24/12/2016,0.01,74
USC00519397,25/12/2016,0,74
USC00519397,26/12/2016,0.02,74
USC00519397,27/12/2016,0,74
USC00519397,28/12/2016,0.02,71
USC00519397,29/12/2016,0.04,73
USC00519397,30/12/2016,0.12,69
USC00519397,31/12/2016,0.01,66
USC00513117,1/12/2010,0.76,73
USC00513117,2/12/2010,0.13,72
USC00513117,3/12/2010,0.16,73
USC00513117,4/12/2010,0,74
USC00513117,5/12/2010,0,73
USC00513117,6/12/2010,0,66
USC00513117,7/12/2010,0,64
USC00513117,8/12/2010,0,66
USC00513117,9/12/2010,0,75
USC00513117,10/12/2010,1.95,65
USC00513117,11/12/2010,0.62,69
USC00513117,12/12/2010,0.15,71
USC00513117,13/12/2010,0.47,69
USC00513117,14/12/2010,0,78
USC00513117,15/12/2010,0,74
USC00513117,16/12/2010,0,68
USC00513117,17/12/2010,0,68
USC00513117,18/12/2010,0,70
USC00513117,19/12/2010,3.18,70
USC00513117,20/12/2010,4.94,71
USC00513117,21/12/2010,0.43,71
USC00513117,22/12/2010,0.01,71
USC00513117,23/12/2010,0.02,71
USC00513117,24/12/2010,0,69
USC00513117,25/12/2010,2.95,69
USC00513117,26/12/2010,0.99,72
USC00513117,27/12/2010,0.46,76
USC00513117,28/12/2010,0.63,72
USC00513117,29/12/2010,0.02,73
USC00513117,30/12/2010,0.11,73
USC00513117,31/12/2010,0.05,74
USC00513117,1/12/2011,0.11,69
USC00513117,2/12/2011,0.14,68
USC00513117,3/12/2011,0.03,74
USC00513117,4/12/2011,0.01,73
USC00513117,5/12/2011,0,73
USC00513117,6/12/2011,0,72
USC00513117,7/12/2011,0.04,71
USC00513117,8/12/2011,0.08,71
USC00513117,9/12/2011,0.07,68
USC00513117,10/12/2011,0.11,72
USC00513117,11/12/2011,0.76,71
USC00513117,12/12/2011,0.58,72
USC00513117,13/12/2011,1.55,71
USC00513117,14/12/2011,0.05,71
USC00513117,15/12/2011,0.02,72
USC00513117,16/12/2011,0,71
USC00513117,17/12/2011,0.02,71
USC00513117,18/12/2011,0.11,72
USC00513117,19/12/2011,0.05,72
USC00513117,20/12/2011,0.02,72
USC00513117,21/12/2011,0.24,69
USC00513117,22/12/2011,0.06,71
USC00513117,23/12/2011,0.02,71
USC00513117,24/12/2011,0.02,69
USC00513117,25/12/2011,0.05,74
USC00513117,26/12/2011,0,72
USC00513117,27/12/2011,0,71
USC00513117,28/12/2011,0.03,71
USC00513117,29/12/2011,0.01,72
USC00513117,30/12/2011,0.02,71
USC00513117,31/12/2011,0.04,67
USC00513117,1/12/2012,0,65
USC00513117,2/12/2012,0,70
USC00513117,3/12/2012,0,76
USC00513117,4/12/2012,0.18,68
USC00513117,5/12/2012,0.07,71
USC00513117,6/12/2012,0,71
USC00513117,7/12/2012,0,68
USC00513117,8/12/2012,0,70
USC00513117,9/12/2012,0,73
USC00513117,10/12/2012,0.03,73
USC00513117,11/12/2012,0,72
USC00513117,12/12/2012,0.07,71
USC00513117,13/12/2012,0.1,70
USC00513117,14/12/2012,0.08,72
USC00513117,15/12/2012,0.1,71
USC00513117,16/12/2012,0.04,72
USC00513117,17/12/2012,0.02,72
USC00513117,18/12/2012,0.2,71
USC00513117,19/12/2012,0.24,70
USC00513117,20/12/2012,0.08,71
USC00513117,21/12/2012,0.06,71
USC00513117,22/12/2012,0.07,71
USC00513117,23/12/2012,0.02,66
USC00513117,24/12/2012,0,65
USC00513117,25/12/2012,0,73
USC00513117,26/12/2012,0.01,72
USC00513117,27/12/2012,0,72
USC00513117,28/12/2012,0,65
USC00513117,29/12/2012,0,65
USC00513117,30/12/2012,0.21,68
USC00513117,31/12/2012,0.17,67
USC00513117,1/12/2013,0,76
USC00513117,2/12/2013,0.93,70
USC00513117,3/12/2013,0.8,71
USC00513117,4/12/2013,0,69
USC00513117,5/12/2013,0,67
USC00513117,6/12/2013,0,69
USC00513117,7/12/2013,0,71
USC00513117,8/12/2013,0,69
USC00513117,9/12/2013,0,72
USC00513117,10/12/2013,0.01,76
USC00513117,11/12/2013,0.13,75
USC00513117,12/12/2013,0,72
USC00513117,13/12/2013,0.01,75
USC00513117,14/12/2013,0,71
