station,date,prcp,tobs
USC00519397,13/06/2015,0,78
USC00519397,14/06/2015,0,78
USC00519397,15/06/2015,0,79
USC00519397,16/06/2015,0,79
USC00519397,17/06/2015,0.03,77
USC00519397,18/06/2015,0,78
USC00519397,19/06/2015,0.01,78
USC00519397,20/06/2015,0.04,78
USC00519397,21/06/2015,0,79
USC00519397,22/06/2015,0,79
USC00519397,23/06/2015,0.03,77
USC00519397,24/06/2015,0.03,79
USC00519397,25/06/2015,0.03,79
USC00519397,26/06/2015,0,79
USC00519397,27/06/2015,0,81
USC00519397,28/06/2015,0,76
USC00519397,29/06/2015,0,80
USC00519397,30/06/2015,0,78
USC00519397,1/06/2016,0.06,76
USC00519397,2/06/2016,0,71
USC00519397,3/06/2016,0,71
USC00519397,4/06/2016,0,74
USC00519397,5/06/2016,0,76
USC00519397,6/06/2016,0,78
USC00519397,7/06/2016,0.01,77
USC00519397,8/06/2016,0,77
USC00519397,9/06/2016,0.01,73
USC00519397,10/06/2016,0.05,77
USC00519397,11/06/2016,0,78
USC00519397,12/06/2016,0.01,78
USC00519397,13/06/2016,0,80
USC00519397,14/06/2016,0,79
USC00519397,15/06/2016,0.01,78
USC00519397,16/06/2016,0.02,77
USC00519397,17/06/2016,0.02,76
USC00519397,18/06/2016,0,77
USC00519397,19/06/2016,0.01,77
USC00519397,20/06/2016,0.01,78
USC00519397,21/06/2016,0,80
USC00519397,22/06/2016,0,79
USC00519397,23/06/2016,0,79
USC00519397,24/06/2016,0.01,77
USC00519397,25/06/2016,0.03,78
USC00519397,26/06/2016,0.01,79
USC00519397,27/06/2016,0.01,80
USC00519397,28/06/2016,0,76
USC00519397,29/06/2016,0,79
USC00519397,30/06/2016,0,80
USC00519397,1/06/2017,0,79
USC00519397,2/06/2017,0,79
USC00519397,3/06/2017,0.02,79
USC00519397,4/06/2017,0,79
USC00519397,5/06/2017,0,80
USC00519397,6/06/2017,0,79
USC00519397,7/06/2017,0,79
USC00519397,8/06/2017,0,80
USC00519397,9/06/2017,0,80
USC00519397,10/06/2017,0.04,77
USC00519397,11/06/2017,0.08,79
USC00519397,12/06/2017,0.02,83
USC00519397,13/06/2017,0,80
USC00519397,14/06/2017,0,80
USC00519397,15/06/2017,0,78
USC00519397,16/06/2017,0,79
USC00519397,17/06/2017,0,80
USC00519397,18/06/2017,0.05,77
USC00519397,19/06/2017,0,80
USC00519397,20/06/2017,0.02,78
USC00519397,21/06/2017,0,79
USC00519397,22/06/2017,0,80
USC00519397,23/06/2017,0,78
USC00519397,24/06/2017,0.06,80
USC00519397,25/06/2017,0,80
USC00519397,26/06/2017,0,81
USC00519397,27/06/2017,0,80
USC00519397,28/06/2017,0,79
USC00519397,29/06/2017,0,79
USC00519397,30/06/2017,0.08,75
USC00513117,1/06/2010,0.03,74
USC00513117,2/06/2010,0,76
USC00513117,3/06/2010,0,75
USC00513117,4/06/2010,0,75
USC00513117,5/06/2010,0,74
USC00513117,6/06/2010,0,75
USC00513117,7/06/2010,0.02,75
USC00513117,8/06/2010,0,75
USC00513117,9/06/2010,0,75
USC00513117,10/06/2010,0.02,75
USC00513117,11/06/2010,0,83
USC00513117,12/06/2010,0,75
USC00513117,13/06/2010,0.01,76
USC00513117,14/06/2010,0.06,73
USC00513117,15/06/2010,0,74
USC00513117,16/06/2010,0.01,74
USC00513117,17/06/2010,0.02,75
USC00513117,18/06/2010,0.06,70
USC00513117,19/06/2010,0.13,74
USC00513117,20/06/2010,0.02,75
USC00513117,21/06/2010,0.01,75
USC00513117,22/06/2010,0,75
USC00513117,23/06/2010,0,75
USC00513117,24/06/2010,0.01,75
USC00513117,25/06/2010,0.05,74
USC00513117,26/06/2010,0.24,72
USC00513117,27/06/2010,0.03,76
USC00513117,28/06/2010,0.11,73
USC00513117,29/06/2010,0,75
USC00513117,30/06/2010,0.03,76
USC00513117,1/06/2011,0.03,74
USC00513117,2/06/2011,0.08,75
USC00513117,3/06/2011,0.63,71
USC00513117,4/06/2011,4.43,69
USC00513117,5/06/2011,4.02,69
USC00513117,6/06/2011,0.02,74
USC00513117,7/06/2011,0.06,71
USC00513117,8/06/2011,0.04,74
USC00513117,9/06/2011,0.01,74
USC00513117,10/06/2011,0.02,75
USC00513117,11/06/2011,0.01,73
USC00513117,12/06/2011,0.12,73
USC00513117,13/06/2011,0.16,73
USC00513117,14/06/2011,0,75
USC00513117,15/06/2011,0,75
USC00513117,16/06/2011,0.06,74
USC00513117,17/06/2011,0,74
USC00513117,18/06/2011,0.02,75
USC00513117,19/06/2011,0.09,74
USC00513117,20/06/2011,0.03,73
USC00513117,21/06/2011,0.54,72
USC00513117,22/06/2011,0.22,74
USC00513117,23/06/2011,0.03,72
USC00513117,24/06/2011,0.21,75
USC00513117,25/06/2011,0,76
USC00513117,26/06/2011,0.04,74
USC00513117,27/06/2011,0.03,74
USC00513117,28/06/2011,0.1,74
USC00513117,29/06/2011,0,74
USC00513117,30/06/2011,0,74
USC00513117,1/06/2012,0.08,71
USC00513117,2/06/2012,0.03,71
USC00513117,3/06/2012,0,75
USC00513117,4/06/2012,0,72
USC00513117,5/06/2012,0,72
USC00513117,6/06/2012,0.03,73
USC00513117,7/06/2012,0,73
USC00513117,8/06/2012,0,73
USC00513117,9/06/2012,0,74
USC00513117,10/06/2012,0,73
USC00513117,11/06/2012,0.04,72
USC00513117,12/06/2012,0.02,72
USC00513117,13/06/2012,0.05,70
USC00513117,14/06/2012,0.08,72
USC00513117,15/06/2012,0,72
USC00513117,16/06/2012,0,72
USC00513117,17/06/2012,0.02,74
USC00513117,18/06/2012,0,73
USC00513117,19/06/2012,0.01,73
USC00513117,20/06/2012,0.14,70
USC00513117,21/06/2012,0.02,73
USC00513117,22/06/2012,0.01,72
USC00513117,23/06/2012,0.28,73
USC00513117,24/06/2012,0.27,69
USC00513117,25/06/2012,0.04,72
USC00513117,26/06/2012,0.22,71
USC00513117,27/06/2012,0.23,71
USC00513117,28/06/2012,0,73
USC00513117,29/06/2012,0.06,73
USC00513117,30/06/2012,0,72
USC00513117,1/06/2013,0.05,75
USC00513117,2/06/2013,0.02,75
USC00513117,3/06/2013,0.02,75
USC00513117,4/06/2013,0,75
USC00513117,5/06/2013,0,74
USC00513117,6/06/2013,0.03,74
USC00513117,7/06/2013,0,74
USC00513117,8/06/2013,0,75
USC00513117,9/06/2013,0,75
USC00513117,10/06/2013,0.02,74
USC00513117,11/06/2013,0,75
USC00513117,12/06/2013,0,75
USC00513117,13/06/2013,0.02,74
USC00513117,14/06/2013,0.08,72
USC00513117,15/06/2013,0.01,74
USC00513117,16/06/2013,0,74
USC00513117,17/06/2013,0.01,74
USC00513117,18/06/2013,0.02,74
USC00513117,19/06/2013,0,74
USC00513117,20/06/2013,0,72
USC00513117,21/06/2013,0.22,70
USC00513117,22/06/2013,0.27,75
USC00513117,23/06/2013,0.03,74
USC00513117,24/06/2013,0.02,71
USC00513117,25/06/2013,0.05,71
USC00513117,26/06/2013,1,70
USC00513117,27/06/2013,0.1,73
USC00513117,28/06/2013,0.02,71
USC00513117,29/06/2013,0.22,71
USC00513117,30/06/2013,0.01,77
USC00513117,1/06/2014,0,77
USC00513117,2/06/2014,0,74
USC00513117,3/06/2014,0,73
USC00513117,4/06/2014,0,75
USC00513117,5/06/2014,0,75
USC00513117,6/06/2014,0.13,74
USC00513117,7/06/2014,0.01,74
USC00513117,8/06/2014,0.02,75
USC00513117,9/06/2014,0.02,75
USC00513117,10/06/2014,0.1,72
USC00513117,11/06/2014,0.15,74
USC00513117,12/06/2014,0,76
USC00513117,13/06/2014,0,76
USC00513117,14/06/2014,0,75
USC00513117,15/06/2014,0.01,75
USC00513117,16/06/2014,0.12,74
USC00513117,17/06/2014,0.05,72
USC00513117,18/06/2014,0.07,74
USC00513117,19/06/2014,0,75
USC00513117,20/06/2014,0.29,70
USC00513117,21/06/2014,0.06,71
USC00513117,22/06/2014,0.15,72
USC00513117,23/06/2014,0.15,71
USC00513117,24/06/2014,0.1,73
USC00513117,25/06/2014,0.04,74
USC00513117,26/06/2014,0.04,72
USC00513117,27/06/2014,0.02,74
USC00513117,28/06/2014,0.25,76
USC00513117,29/06/2014,0.18,72
USC00513117,30/06/2014,0.03,75
USC00513117,3/06/2015,,75
USC00513117,4/06/2015,0.27,72
USC00513117,5/06/2015,0,70
USC00513117,6/06/2015,0,76
USC00513117,7/06/2015,0,78
USC00513117,8/06/2015,0.1,72
USC00513117,9/06/2015,0.05,74
USC00513117,10/06/2015,0.07,74
USC00513117,11/06/2015,0.1,72
USC00513117,12/06/2015,0,71
USC00513117,13/06/2015,0,79
USC00513117,14/06/2015,0.07,79
USC00513117,15/06/2015,0,76
USC00513117,16/06/2015,0.14,75
USC00513117,17/06/2015,0.25,72
USC00513117,18/06/2015,0.14,74
USC00513117,19/06/2015,0.02,76
USC00513117,20/06/2015,0.04,76
USC00513117,21/06/2015,0.01,77
USC00513117,22/06/2015,0.01,75
USC00513117,23/06/2015,0.03,76
USC00513117,24/06/2015,0.14,75
USC00513117,25/06/2015,0.2,75
USC00513117,26/06/2015,0.1,76
USC00513117,27/06/2015,0.06,76
USC00513117,29/06/2015,,74
USC00513117,1/06/2016,0.89,70
USC00513117,2/06/2016,0.15,69
USC00513117,3/06/2016,0.16,70
USC00513117,4/06/2016,0,68
USC00513117,5/06/2016,0.63,70
USC00513117,6/06/2016,0.36,74
USC00513117,7/06/2016,0.4,75
USC00513117,8/06/2016,0,74
USC00513117,9/06/2016,0.21,71
USC00513117,10/06/2016,0.06,73
USC00513117,11/06/2016,0.02,75
USC00513117,12/06/2016,0.04,74
USC00513117,13/06/2016,0.08,76
USC00513117,14/06/2016,0.06,76
USC00513117,15/06/2016,0.18,76
USC00513117,16/06/2016,0.03,76
USC00513117,17/06/2016,0.16,75
USC00513117,18/06/2016,0.3,75
USC00513117,19/06/2016,0.02,75
USC00513117,20/06/2016,0.16,74
USC00513117,21/06/2016,0.03,73
USC00513117,22/06/2016,0.01,76
USC00513117,23/06/2016,0.25,74
USC00513117,24/06/2016,0.02,78
USC00513117,25/06/2016,0.8,71
USC00513117,26/06/2016,0.06,75
USC00513117,27/06/2016,0.06,75
USC00513117,28/06/2016,0.02,74
USC00513117,29/06/2016,0.03,77
USC00513117,30/06/2016,0,77
USC00513117,1/06/2017,0.03,76
USC00513117,2/06/2017,0.1,76
USC00513117,3/06/2017,0.2,76
USC00513117,4/06/2017,0.15,78
USC00513117,5/06/2017,0,76
USC00513117,6/06/2017,0,75
USC00513117,7/06/2017,0,75
USC00513117,8/06/2017,0.02,76
USC00513117,9/06/2017,0.02,78
USC00513117,10/06/2017,0.21,75
USC00513117,11/06/2017,0.24,73
USC00513117,12/06/2017,0.19,76
USC00513117,13/06/2017,0.36,76
USC00513117,14/06/2017,0.27,76
USC00513117,15/06/2017,0.17,77
USC00513117,16/06/2017,0.02,76
USC00513117,17/06/2017,0.35,77
USC00513117,18/06/2017,0.25,72
USC00513117,19/06/2017,0.05,77
USC00513117,20/06/2017,0.05,75
USC00513117,21/06/2017,0.02,82
USC00513117,22/06/2017,0.1,77
USC00513117,23/06/2017,0,76
USC00513117,24/06/2017,0,74
USC00513117,25/06/2017,0.08,73
USC00513117,26/06/2017,0.02,77
USC00513117,27/06/2017,0,77
USC00513117,28/06/2017,0.01,77
USC00513117,29/06/2017,0.03,76
USC00513117,30/06/2017,0.04,74
USC00514830,1/06/2010,0.01,73
USC00514830,2/06/2010,0,72
USC00514830,3/06/2010,0,74
USC00514830,4/06/2010,0,73
USC00514830,5/06/2010,0,72
USC00514830,6/06/2010,0,75
USC00514830,7/06/2010,0.09,74
USC00514830,8/06/2010,0,75
USC00514830,9/06/2010,0,73
USC00514830,10/06/2010,0,75
USC00514830,11/06/2010,0,76
USC00514830,12/06/2010,0.03,74
USC00514830,13/06/2010,0,74
USC00514830,14/06/2010,0.06,73
USC00514830,15/06/2010,0.03,73
USC00514830,16/06/2010,0,76
USC00514830,17/06/2010,0,75
USC00514830,18/06/2010,0.03,70
USC00514830,19/06/2010,0.04,75
USC00514830,20/06/2010,0,73
USC00514830,21/06/2010,0,74
USC00514830,22/06/2010,0,74
USC00514830,23/06/2010,0,74
USC00514830,24/06/2010,0.05,74
USC00514830,25/06/2010,0.12,70
USC00514830,27/06/2010,,75
USC00514830,28/06/2010,0.18,74
USC00514830,29/06/2010,0.06,73
USC00514830,30/06/2010,0.03,74
USC00514830,1/06/2011,0.19,72
USC00514830,2/06/2011,0.04,73
USC00514830,3/06/2011,1.75,67
USC00514830,4/06/2011,1.14,69
USC00514830,5/06/2011,3.6,76
USC00514830,6/06/2011,0,73
USC00514830,7/06/2011,0.05,70
USC00514830,8/06/2011,0.17,72
USC00514830,9/06/2011,0,74
USC00514830,10/06/2011,0.02,72
USC00514830,13/06/2011,,72
USC00514830,14/06/2011,0.02,75
USC00514830,15/06/2011,0,73
USC00514830,16/06/2011,0.13,73
USC00514830,17/06/2011,0,72
USC00514830,18/06/2011,0,74
USC00514830,19/06/2011,0.12,76
USC00514830,21/06/2011,,72
USC00514830,22/06/2011,0.2,74
USC00514830,23/06/2011,0.09,70
USC00514830,24/06/2011,0.17,74
USC00514830,25/06/2011,0.03,74
USC00514830,27/06/2011,,74
USC00514830,28/06/2011,0.12,71
USC00514830,21/06/2012,0.08,75
USC00514830,22/06/2012,0.01,75
USC00514830,24/06/2012,,76
USC00514830,25/06/2012,0.12,77
USC00514830,26/06/2012,0.03,75
USC00514830,27/06/2012,0.2,74
USC00514830,28/06/2012,0,75
USC00514830,29/06/2012,0.23,76
USC00514830,30/06/2012,0.02,78
USC00514830,3/06/2013,,78
USC00514830,4/06/2013,0,76
USC00514830,5/06/2013,0,78
USC00514830,6/06/2013,0,76
USC00514830,7/06/2013,0.01,76
USC00514830,8/06/2013,0,78
USC00514830,9/06/2013,0.01,79
USC00514830,10/06/2013,0,77
USC00514830,11/06/2013,0,76
USC00514830,12/06/2013,0.04,77
USC00514830,13/06/2013,0.08,77
USC00514830,14/06/2013,0.03,76
USC00514830,16/06/2013,,78
USC00514830,17/06/2013,0.04,76
USC00514830,18/06/2013,0.04,76
USC00514830,19/06/2013,0.08,77
USC00514830,20/06/2013,0.01,71
USC00514830,25/06/2013,,74
USC00514830,26/06/2013,0.17,72
USC00514830,27/06/2013,0,77
USC00514830,1/06/2014,,77
USC00514830,2/06/2014,0.02,78
USC00514830,3/06/2014,0,77
USC00514830,4/06/2014,0,77
USC00514830,5/06/2014,0,76
USC00514830,6/06/2014,0.13,75
USC00514830,7/06/2014,0.04,79
USC00514830,9/06/2014,,75
USC00514830,10/06/2014,0.16,73
USC00514830,11/06/2014,0.17,76
USC00514830,12/06/2014,0,78
USC00514830,13/06/2014,0,77
USC00514830,14/06/2014,0,78
USC00514830,16/06/2014,,76
USC00514830,17/06/2014,0.39,75
USC00514830,18/06/2014,0.08,76
USC00514830,19/06/2014,0.14,77
USC00514830,20/06/2014,0.07,74
USC00514830,21/06/2014,0.11,78
USC00514830,23/06/2014,,77
USC00514830,24/06/2014,0.03,77
USC00514830,25/06/2014,0.1,74
USC00514830,26/06/2014,0.08,74
USC00514830,27/06/2014,0.08,78
USC00514830,29/06/2014,,79
USC00514830,30/06/2014,0.04,79
USC00514830,1/06/2015,0.05,78
USC00514830,3/06/2015,0,75
USC00514830,4/06/2015,0.22,76
USC00514830,5/06/2015,0,78
USC00514830,6/06/2015,0,78
USC00514830,8/06/2015,,74
USC00514830,9/06/2015,0,78
USC00514830,10/06/2015,0,77
USC00514830,11/06/2015,0,76
USC00514830,12/06/2015,0.03,78
USC00514830,14/06/2015,,78
USC00514830,15/06/2015,0,78
USC00514830,16/06/2015,0,78
USC00514830,17/06/2015,0.16,74
USC00514830,18/06/2015,0.04,79
USC00514830,19/06/2015,0.02,77
USC00514830,20/06/2015,0.06,73
USC00514830,21/06/2015,0,79
USC00514830,22/06/2015,0.04,79
USC00514830,23/06/2015,0.02,78
USC00514830,24/06/2015,0.01,77
USC00514830,25/06/2015,0.2,78
USC00514830,26/06/2015,0.11,78
USC00514830,27/06/2015,0.09,80
USC00514830,28/06/2015,0,80
USC00514830,29/06/2015,0.11,79
USC00514830,30/06/2015,1.1,74
USC00514830,1/06/2016,0.22,71
USC00514830,2/06/2016,0.35,74
USC00514830,3/06/2016,0.02,75
USC00514830,7/06/2016,,75
USC00514830,8/06/2016,0,74
USC00514830,9/06/2016,0.12,76
USC00514830,10/06/2016,0.13,75
USC00514830,11/06/2016,0.01,77
